"","Name","Team","playerid","name_last","name_first","name_given","mlbid","birthday"
"246","Oliver Perez","Indians","1514","Perez","Oliver","Oliver",424144,1981-08-15
"247","Andrew Chafin","Diamondbacks","12988","Chafin","Andrew","Andrew Gregory",605177,1990-06-17
"248","Shohei Ohtani","Angels","19755","Ohtani","Shohei","Shohei",660271,1994-07-05
"249","Tyler Lyons","Cardinals","11334","Lyons","Tyler","Tyler William",544928,1988-02-21
"250","Diego Castillo","Rays","17496","Castillo","Diego","Diego",650895,1994-01-18
"251","Tyson Ross","- - -","7872","Ross","Tyson","Tyson William",475115,1987-04-22
"252","Jordan Zimmermann","Tigers","4505","Zimmermann","Jordan","Jordan M.",519455,1986-05-23
"253","Reyes Moronta","Giants","14966","Moronta","Reyes","Reyes Armando",606625,1993-01-06
"254","Garrett Richards","Angels","9784","Richards","Garrett","Garrett Thomas",572070,1988-05-27
"255","Hector Neris","Phillies","11804","Neris","Hector","Hector",593576,1989-06-14
"256","Dylan Floro","- - -","13394","Floro","Dylan","Dylan Lee",571670,1990-12-27
"257","Ryan Tepera","Blue Jays","10291","Tepera","Ryan","Dennis Ryan",572193,1987-11-03
"258","Alex Meyer","Angels","12833",NA,NA,NA,NA,NA
"259","Brandon Kintzler","- - -","9939","Kintzler","Brandon","Brandon Lee",445213,1984-08-01
"260","Luiz Gohara","Braves","15166","Gohara","Luiz","Luiz Henrique",627894,1996-07-31
"261","Andrew Suarez","Giants","18300","Suarez","Andrew","Andrew Jose",605498,1992-09-11
"262","Liam Hendriks","Athletics","3548","Hendriks","Liam","Liam Johnson",521230,1989-02-10
"263","Edinson Volquez","Marlins","3990",NA,NA,NA,NA,NA
"264","Ian Kennedy","Royals","6986","Kennedy","Ian","Ian Patrick",453178,1984-12-19
"265","Matt Moore","Giants","1890","Moore","Matt","Matthew Cody",519043,1989-06-18
"266","Pedro Strop","Cubs","4070","Strop","Pedro","Pedro Angel",467008,1985-06-13
"267","Kyle Crick","Pirates","13182","Crick","Kyle","Kyle Daniel",605195,1992-11-30
"268","Roenis Elias","Mariners","12673","Elias","Roenis","Roenis",606273,1988-08-01
"269","Addison Reed","- - -","10586","Reed","Addison","Addison Devon",592665,1988-12-27
"270","Zach Duke","- - -","3840","Duke","Zach","Zachary Thomas",435043,1983-04-19
"271","Jerry Blevins","Mets","7841","Blevins","Jerry","Jerry Richard",460283,1983-09-06
"272","Domingo German","Yankees","17149","German","Domingo","Domingo",593334,1992-08-04
"273","Tony Sipp","Astros","8280","Sipp","Tony","Tony Marcel",448609,1983-07-12
"274","Frankie Montas","Athletics","14309","Montas","Frankie","Francelis",593423,1993-03-21
"275","Jose Castillo","Padres","17169","Castillo","Jose","Jose Gregorio",620454,1996-01-10
"276","Brett Anderson","Athletics","8223","Anderson","Brett","Brett Franklin",474463,1988-02-01
"277","Matt Strahm","Padres","13799","Strahm","Matt","Matthew Scott",621381,1991-11-12
"278","Matt Garza","Brewers","3340",NA,NA,NA,NA,NA
"279","Matt Albers","Nationals","4300","Albers","Matt","Matthew James",458006,1983-01-20
"280","Sam Gaviglio","Blue Jays","12778","Gaviglio","Sam","Samuel Joseph",543208,1990-05-22
"281","Luis Avilan","- - -","2882","Avilan","Luis","Luis Armando",501593,1989-07-19
"282","James Shields","White Sox","7059","Shields","James","James Anthony",448306,1981-12-20
"283","Eric Lauer","Padres","19316","Lauer","Eric","Eric Lance",641778,1995-06-03
"284","Emilio Pagan","Mariners","14771","Pagan","Emilio","Emilio Enrique",641941,1991-05-07
"285","Pedro Baez","Dodgers","5420","Baez","Pedro","Pedro Alberys",520980,1988-03-11
"286","Adam Kolarek","Rays","10843","Kolarek","Adam","Adam John",592473,1989-01-14
"287","Darren O'Day","Orioles","3321","O'Day","Darren","Darren Christopher",503285,1982-10-22
"288","Steve Cishek","Cubs","6483","Cishek","Steve","Steven R.",518553,1986-06-18
"289","Austin Gomber","Cardinals","16561","Gomber","Austin","Austin Zachary",596295,1993-11-23
"290","Trevor Hildenberger","Twins","17002","Hildenberger","Trevor","Trevor Sean",657610,1990-12-15
"291","Richard Bleier","Orioles","7803","Bleier","Richard","Richard Sidney",542947,1987-04-16
"292","Ricky Nolasco","Angels","3830",NA,NA,NA,NA,NA
"293","Francisco Liriano","- - -","3201","Liriano","Francisco","Francisco Casillas",434538,1983-10-26
"294","Victor Arano","Phillies","15915","Arano","Victor","Victor Teodoro",644364,1995-02-07
"295","Hunter Strickland","Giants","7836","Strickland","Hunter","Hunter Drew",519326,1988-09-24
"296","Ty Buttrey","Angels","14719","Buttrey","Ty","Ty Douglas",621142,1993-03-31
"297","Steven Matz","Mets","13361","Matz","Steven","Steven Jakob",571927,1991-05-29
"298","Adam Cimber","- - -","15288","Cimber","Adam","Adam Christian",643256,1990-08-15
"299","Ryan Yarbrough","Rays","16502","Yarbrough","Ryan","Ryan Christian",642232,1991-12-31
"300","Ben Lively","Phillies","14932","Lively","Ben","Edward Bennett",594902,1992-03-05
"301","Brian Duensing","Cubs","4064","Duensing","Brian","Brian Matthew",488846,1983-02-22
"302","Fernando Romero","Twins","15885","Romero","Fernando","Fernando Ernesto",622864,1994-12-24
"303","Joe Kelly","Red Sox","9761","Kelly","Joe","Joseph William",523260,1988-06-09
"304","Edwin Jackson","Athletics","1841","Jackson","Edwin","Edwin",429719,1983-09-09
"305","Matt Bowman","Cardinals","13528","Bowman","Matthew","Matthew Chou",621199,1991-05-31
"306","Tyler Glasnow","- - -","14374","Glasnow","Tyler","Tyler Allen",607192,1993-08-23
"307","Tyler Duffey","Twins","13758","Duffey","Tyler","Tyler Blinn",608648,1990-12-27
"308","Aaron Bummer","White Sox","16258","Bummer","Aaron","Aaron James",607481,1993-09-21
"309","Arodys Vizcaino","Braves","5498","Vizcaino","Arodys","Arodys",527055,1990-11-13
"310","Sam Freeman","Braves","6832","Freeman","Sam","Samuel Douglas",518693,1987-06-24
"311","Nick Goody","Indians","13685","Goody","Nick","Nicholas Gunnar",580792,1991-07-06
"312","Ryan Brasier","Red Sox","5615","Brasier","Ryan","Ryan David",518489,1987-08-26
"313","Juan Minaya","White Sox","10341","Minaya","Juan","Juan Gustavo",573668,1990-09-18
"314","Scott Feldman","Reds","6283",NA,NA,NA,NA,NA
"315","Aaron Sanchez","Blue Jays","11490","Sanchez","Aaron","Aaron Jacob",592717,1992-07-01
"316","Homer Bailey","Reds","8362","Bailey","Homer","David Dewitt",456701,1986-05-03
"317","Carlos Rodon","White Sox","16137","Rodon","Carlos","Carlos Antonio",607074,1992-12-10
"318","Blake Wood","- - -","1345","Wood","Blake","Blake Daniel",502028,1985-08-08
"319","Odrisamer Despaigne","Marlins","16017","Despaigne","Odrisamer","Odrisamer",628333,1987-04-04
"320","Brandon Maurer","- - -","4878","Maurer","Brandon","Brandon Eugene",543506,1990-07-03
"321","Paul Fry","Orioles","15832","Fry","Paul","Paul Raymond",643316,1992-07-26
"322","Cam Bedrosian","Angels","13360","Bedrosian","Cam","Cameron Rock",592135,1991-10-02
"323","Bud Norris","Angels","9492","Norris","Bud","David Stefan",502032,1985-03-02
"324","Chase Whitley","Rays","10982","Whitley","Chase","Chase Coleman",595032,1989-06-14
"325","John Brebbia","Cardinals","12777","Brebbia","John","John Fulboam",605154,1990-05-30
"326","Daniel Poncedeleon","Cardinals","16110","Ponce de Leon","Daniel","Daniel Robert",594965,1992-01-16
"327","Robert Stock","Padres","6576","Stock","Robert","Robert Anthony",476594,1989-11-21
"328","Jacob Barnes","Brewers","12323","Barnes","Jacob","Jacob Andrew",606930,1990-04-14
"329","Matt Belisle","Twins","1837","Belisle","Matt","Matthew Thomas",279571,1980-06-06
"330","Robert Gsellman","Mets","13696","Gsellman","Robert","Robert John",607229,1993-07-18
"331","Matt Bush","Rangers","1246","Bush","Matt","Matthew Brian",456713,1986-02-08
"332","Michael Soroka","Braves","18383","Soroka","Mike","Michael John Graydon",647336,1997-08-04
"333","Lou Trivino","Athletics","15043","Trivino","Lou","Lou Albert",642152,1991-10-01
"334","Shane Greene","Tigers","10756","Greene","Shane","Shane",572888,1988-11-17
"335","Kyle Barraclough","Marlins","13713","Barraclough","Kyle","Kyle David",607457,1990-05-23
"336","Andrew Triggs","Athletics","13533","Triggs","Andrew","Andrew Austin",592811,1989-03-16
"337","Chris Stratton","Giants","13761","Stratton","Chris","Christopher Lee",608717,1990-08-22
"338","Drew Steckenrider","Marlins","18806","Steckenrider","Drew","Andrew Paul",608716,1991-01-10
"339","Matt Shoemaker","Angels","4776","Shoemaker","Matt","Matthew David",533167,1986-09-27
"340","Michael Lorenzen","Reds","14843","Lorenzen","Michael","Michael Clifton",547179,1992-01-04
"341","Tanner Scott","Orioles","17586","Scott","Tanner","Tanner Alexander",656945,1994-07-22
"342","Bartolo Colon","- - -","375","Colon","Bartolo","Bartolo",112526,1973-05-24
"343","Paul Sewald","Mets","13892","Sewald","Paul","Paul Stanton",623149,1990-05-26
"344","Anthony DeSclafani","Reds","13050","DeSclafani","Anthony","Anthony James",543101,1990-04-18
"345","Drew VerHagen","Tigers","13424","VerHagen","Drew","Drew Edward",572403,1990-10-22
"346","Edgar Santana","Pirates","17355","Santana","Edgar","Edgar",650828,1991-10-16
"347","Zach Britton","Orioles","3240","Britton","Zack","Zackary Grant",502154,1987-12-22
"348","Ryan Buchter","Athletics","9456","Buchter","Ryan","Ryan James",488748,1987-02-13
"349","Koda Glover","Nationals","17695","Glover","Koda","Koda James",606983,1993-04-13
"350","David Phelps","- - -","6316",NA,NA,NA,NA,NA
"351","Phil Maton","Padres","18064","Maton","Phil","Phillip Louis",664208,1993-03-25
"352","Paul Blackburn","Athletics","14739","Blackburn","Paul","Paul Cady",621112,1993-12-04
"353","Shane Carle","Braves","15258","Carle","Shane","Shane Taylor",641438,1991-08-30
"354","Austin Pruitt","Rays","15290","Pruitt","Austin","Austin Daniel",643493,1989-08-31
"355","Gregory Infante","White Sox","9119","Infante","Greg","Gregory Alexander",500872,1987-07-10
"356","Daniel Mengden","Athletics","16980","Mengden","Daniel","Daniel Joseph",596043,1993-02-19
"357","Jordan Lyles","- - -","7593","Lyles","Jordan","Jordan Horton",543475,1990-10-19
"358","Eddie Butler","Cubs","13453","Butler","Eddie","Timothy Edward",572750,1991-03-13
"359","Ryan Merritt","Indians","13688","Merritt","Ryan","Ryan Adam",607320,1992-02-21
"360","Matt Grace","Nationals","11449","Grace","Matt","Matthew Aaron",594840,1988-12-14
"361","Brandon Woodruff","Brewers","16162","Woodruff","Brandon","Brandon Kyle",605540,1993-02-10
"362","Chris Bassitt","Athletics","12304","Bassitt","Chris","Christopher M.",605135,1989-02-22
"363","Tony Cingrani","Dodgers","12555","Cingrani","Tony","Anthony Michael",571561,1989-07-05
"364","Aaron Loup","Blue Jays","10343","Loup","Aaron","Aaron Christopher",571901,1987-12-19
"365","Chris Martin","Rangers","11847","Martin","Chris","Christopher Riley",455119,1986-06-02
"366","Koji Uehara","Cubs","9227","Uehara","Koji","Koji",493157,1975-04-03
"367","Heath Hembree","Red Sox","11632","Hembree","Heath","Richard Heath",592390,1989-01-13
"368","James Hoyt","Astros","14605","Hoyt","James","James Allen",624586,1986-09-30
"369","Xavier Cedeno","- - -","36","Cedeno","Xavier","Xavier",458584,1986-08-26
"370","Yoshihisa Hirano","Diamondbacks","19756","Hirano","Yoshihisa","Yoshihisa",673633,1984-03-08
"371","Oliver Drake","- - -","8823","Drake","Oliver","Oliver Gardner",543118,1987-01-13
"372","Tyler Olson","Indians","14741","Olson","Tyler","Tyler Ray",621397,1989-10-02
"373","Jake Diekman","- - -","5003","Diekman","Jake","Jacob Tanner",518617,1987-01-21
"374","Tyler Clippard","Blue Jays","5640","Clippard","Tyler","Tyler Lee",461325,1985-02-14
"375","Trevor May","Twins","6398","May","Trevor","Trevor J.",543507,1989-09-23
"376","Andrew Albers","Mariners","7853","Albers","Andrew","Andrew William",452027,1985-10-06
"377","James Pazos","Mariners","13323","Pazos","James","James Manuel",572021,1991-05-05
"378","Matt Andriese","Rays","12022","Andriese","Matt","Matthew Lee",542882,1989-08-28
"379","Hector Velazquez","Red Sox","19341","Velazquez","Hector","Hector",584171,1988-11-26
"380","Cody Reed","Reds","15232","Reed","Cody","Cody Austin",642003,1993-04-15
"381","Anthony Banda","Diamondbacks","14706","Banda","Anthony","Frank Anthony",607455,1993-08-10
"382","Tony Barnette","Rangers","3555","Barnette","Tony","Anthony Lee",501817,1983-11-09
"383","Sam Dyson","Giants","11710","Dyson","Sam","Samuel Isaac",473879,1988-05-07
"384","Brad Ziegler","Marlins","7293","Ziegler","Brad","Brad Gregory",446899,1979-10-10
"385","Jordan Hicks","Cardinals","19618","Hicks","Jordan","Jordan McKinley",663855,1996-09-06
"386","John Lackey","Cubs","1507",NA,NA,NA,NA,NA
"387","Justin Anderson","Angels","16201","Anderson","Justin","Justin Charles",605121,1992-09-28
"388","Heath Fillmyer","Royals","17466","Fillmyer","Heath","Heath Devon",641571,1994-05-16
"389","Tim Hill","Royals","16814","Hill","Tim","Timothy",657612,1990-02-10
"390","Spencer Turnbull","Tigers","16207","Turnbull","Spencer","Spencer Ketcham",605513,1992-09-18
"391","Silvino Bracho","Diamondbacks","15051","Bracho","Silvino","Silvino",611093,1992-07-17
"392","George Kontos","- - -","9486","Kontos","George","George Nicholas",502004,1985-06-12
"393","Jonathan Loaisiga","Yankees","19753","Loaisiga","Jonathan","Jonathan Stanley",642528,1994-11-02
"394","Dan Otero","Indians","7385","Otero","Dan","Daniel Anthony",519096,1985-02-19
"395","Shelby Miller","Diamondbacks","10197","Miller","Shelby","Shelby Charles",571946,1990-10-10
"396","Robert Stephenson","Reds","13594","Stephenson","Robert","Robert William",596112,1993-02-24
"397","T.J. McFarland","Diamondbacks","3237","McFarland","T. J.","Timothy John",519008,1989-06-08
"398","Shawn Kelley","- - -","7773","Kelley","Shawn","Shawn Andrew",518875,1984-04-26
"399","Zach McAllister","Indians","2895","McAllister","Zach","Zachary Taylor",502083,1987-12-08
"400","Sergio Romo","Rays","9817","Romo","Sergio","Sergio Francisco",489265,1983-03-04
"401","Luis Cessa","Yankees","13345","Cessa","Luis","Luis Enrique",570666,1992-04-25
"402","Mark Melancon","Giants","4264","Melancon","Mark","Mark D.",453343,1985-03-28
"403","Wander Suero","Nationals","15855","Suero","Wander","Wander",593833,1991-09-15
"404","Gabriel Ynoa","Orioles","12938","Ynoa","Gabriel","Gabriel",593679,1993-05-26
"405","Touki Toussaint","Braves","16929","Toussaint","Touki","Dany Gilbert Kiti",657053,1996-06-20
"406","Michael Feliz","Astros","11903","Feliz","Michael","Michael",593140,1993-06-28
"407","Adam Conley","Marlins","14457","Conley","Adam","Adam Michael",543045,1990-05-24
"408","Chad Bettis","Rockies","10587","Bettis","Chad","Chad Robert",518452,1989-04-26
"409","Hunter Wood","Rays","15091","Wood","Hunter","Hunter Blake",621056,1993-08-12
"410","Pablo Lopez","Marlins","17085","Lopez","Pablo","Pablo Jose",641154,1996-03-07
"411","Joe Ross","Nationals","12972","Ross","Joe","Joseph Andrew",605452,1993-05-21
"412","Alex Wilson","Tigers","9239","Wilson","Alex","William Alexander",543935,1986-11-03
"413","Taylor Cole","Angels","11964","Cole","Taylor","Taylor James",518566,1989-08-20
"414","Alec Mills","Cubs","13834","Mills","Alec","Alec Thomas",621219,1991-11-30
"415","Max Fried","Braves","13743","Fried","Max","Max Dorian",608331,1994-01-18
"416","Danny Farquhar","- - -","8501","Farquhar","Danny","Daniel Andres",543144,1987-02-17
"417","Amir Garrett","Reds","14375","Garrett","Amir","Amir Jamal",607237,1992-05-03
"418","Kohl Stewart","Twins","15502","Stewart","Kohl","Kohl Robert",640464,1994-10-07
"419","Nathan Karns","Royals","12638",NA,NA,NA,NA,NA
"420","Joshua James","Astros","16794","James","Josh","Joshua",657624,1993-03-08
"421","Blaine Boyer","Red Sox","2237","Boyer","Blaine","Blaine Thomas",430641,1981-07-11
"422","Wandy Peralta","Reds","14295","Peralta","Wandy","Wandy Luis",593974,1991-07-27
"423","Kelvin Herrera","- - -","6033","Herrera","Kelvin","Kelvin De Jesus",516969,1989-12-31
"424","Nick Wittgren","Marlins","15594","Wittgren","Nick","Nicholas James",621295,1991-05-29
"425","Brian Johnson","Red Sox","14272","Johnson","Brian","Christopher Brian",598271,1990-12-07
"426","Enny Romero","Nationals","4001","Romero","Enny","Enny Manuel",544836,1991-01-24
"427","Felix Hernandez","Mariners","4772","Hernandez","Felix","Felix Abraham",433587,1986-04-08
"428","Adam Morgan","Phillies","12580","Morgan","Adam","Adam Christopher",605388,1990-02-27
"429","AJ Ramos","- - -","8350","Ramos","AJ","Alejandro",573109,1986-09-20
"430","Tim Mayza","Blue Jays","15042","Mayza","Tim","Timothy Gerard",641835,1992-01-15
"431","Josh Fields","Dodgers","5070","Fields","Josh","Joshua David",451661,1985-08-19
"432","Fernando Abad","Red Sox","4994","Abad","Fernando","Fernando Antonio",472551,1985-12-17
"433","Tony Zych","Mariners","12876",NA,NA,NA,NA,NA
"434","Carlos Estevez","Rockies","14542","Estevez","Carlos","Carlos Samuel",608032,1992-12-28
"435","Artie Lewicki","Tigers","16731","Lewicki","Artie","Arthur Michael",592499,1992-04-08
"436","Peter Moylan","Royals","4891","Moylan","Peter","Peter Michael",493247,1978-12-02
"437","Jimmie Sherfy","Diamondbacks","15118","Sherfy","Jimmie","James Harold",642073,1991-12-27
"438","Tyler Mahle","Reds","16358","Mahle","Tyler","Tyler Fermin",641816,1994-09-29
"439","Austin Maddox","Red Sox","14241","Maddox","Austin","Austin D.",545348,1991-05-13
"440","Fernando Salas","- - -","4971","Salas","Fernando","Noel Fernando",477569,1985-05-30
"441","Brad Boxberger","Rays","10133","Boxberger","Brad","Bradley George",502202,1988-05-27
"442","Luke Jackson","Braves","11752","Jackson","Luke","Luke Ray",592426,1991-08-24
"443","Jonny Venters","- - -","7175","Venters","Jonny","Jonathan William",458924,1985-03-20
"444","Zach Putnam","White Sox","9080",NA,NA,NA,NA,NA
"445","Boone Logan","Indians","5525","Logan","Boone","Boone",457429,1984-08-13
"446","Dillon Gee","- - -","7396","Gee","Dillon","Dillon Kyle",518716,1986-04-28
"447","Taylor Williams","Brewers","14899","Williams","Taylor","Taylor Grant",592865,1991-07-21
"448","Buck Farmer","Tigers","14814","Farmer","Buck","George Runie",571656,1991-02-20
"449","Lucas Giolito","White Sox","15474","Giolito","Lucas","Lucas Frost",608337,1994-07-14
"450","Jarlin Garcia","Marlins","18282","Garcia","Jarlin","Jarlin Emmanuel",606424,1993-01-18
"451","Caleb Ferguson","Dodgers","19349","Ferguson","Caleb","Caleb Paul",657571,1996-07-02
"452","Cory Gearrin","Giants","7947","Gearrin","Cory","Cory Nathanial",518715,1986-04-14
"453","Drew Anderson","Phillies","15130","Anderson","Drew","Andrew James",623454,1994-03-22
"454","Erik Goeddel","- - -","11712","Goeddel","Erik","Erik Van Norman",592340,1988-12-20
"455","Mike Mayers","Cardinals","15451","Mayers","Mike","Michael Christopher",594577,1991-12-06
"456","Francis Martes","Astros","17303","Martes","Francis","Francis Euclides",642564,1995-11-24
"457","Deck McGuire","Reds","11596","McGuire","Deck","William Deck",592547,1989-06-23
"458","Bruce Rondon","Tigers","5766","Rondon","Bruce","Bruce",541652,1990-12-09
"459","Al Alburquerque","- - -","6324","Alburquerque","Al","Alberto Jose",456379,1986-06-10
"460","Steven Brault","Pirates","15291","Brault","Steven","Steven Joseph",643230,1992-04-29
"461","Jeff Locke","Marlins","2929",NA,NA,NA,NA,NA
"462","Steven Wright","Red Sox","8185","Wright","Steven","Steven Richard",453214,1984-08-30
"463","Daniel Wright","Angels","15179","Wright","Daniel","Daniel Paul",642229,1991-04-03
"464","Matt Cain","Giants","4732",NA,NA,NA,NA,NA
"465","Jarred Cosart","Padres","10304",NA,NA,NA,NA,NA
"466","Daniel Stumpf","Tigers","13780","Stumpf","Daniel","Daniel Arthur",621385,1991-01-04
"467","Marcus Walden","Red Sox","8004","Walden","Marcus","Marcus Walter",519393,1988-09-13
"468","Drew Smith","Mets","17755","Smith","Drew","Andrew David",622098,1993-09-24
"469","Austin Davis","Phillies","17117","Davis","Austin","Austin Richard",656354,1993-02-03
"470","Chris O'Grady","Marlins","13818","O'Grady","Chris","Christopher Ryan",622217,1990-04-17
"471","Yency Almonte","Rockies","15068","Almonte","Yency","Yency",622075,1994-06-04
"472","Sam Tuivailala","Cardinals","13485","Tuivailala","Sam","Samuel Johnathan",592815,1992-10-19
"473","Jesse Biddle","Braves","11437","Biddle","Jesse","Jesse Thomas",592145,1991-10-22
"474","John Axford","- - -","9059","Axford","John","John Berton",446099,1983-04-01
"475","Edward Paredes","Dodgers","4168","Paredes","Edward","Edward Miguel",487675,1986-09-30
"476","Josh Lindblom","Pirates","7882","Lindblom","Josh","Joshua William",458676,1987-06-15
"477","Corbin Burnes","Brewers","19361","Burnes","Corbin","Corbin Brian",669203,1994-10-22
"478","Glenn Sparkman","Royals","15200","Sparkman","Glenn","Glenn Michael",642098,1992-05-11
"479","Anthony Bass","Cubs","7982","Bass","Anthony","Anthony Edward",542914,1987-11-01
"480","Daniel Zamora","Mets","17811","Zamora","Daniel","Daniel James",623354,1993-04-15
"481","Asher Wojciechowski","Reds","10836","Wojciechowski","Asher","Randall Asher",592879,1988-12-21
"482","Jeanmar Gomez","White Sox","9033","Gomez","Jeanmar","Jeanmar Alejandro",491646,1988-02-10
"483","Tommy Milone","Nationals","7608","Milone","Tommy","Tomaso Anthony",543548,1987-02-16
"484","Ryan Dull","Athletics","13974","Dull","Ryan","Ryan Christopher",623430,1989-10-02
"485","Kyle Crockett","Reds","15033","Crockett","Kyle","Kyle Richard",641490,1991-12-15
"486","Chris Hatcher","- - -","3299","Hatcher","Chris","David Christopher",501822,1985-01-12
"487","Ariel Jurado","Rangers","17030","Jurado","Ariel","Ariel Bolivar",642558,1996-01-30
"488","Scott Barlow","Royals","14993","Barlow","Scott","Scott A.",605130,1992-12-18
"489","Bryan Mitchell","Yankees","11479","Mitchell","Bryan","Bryan Bedford",571951,1991-04-19
"490","Yefry Ramirez","Orioles","15655","Ramirez","Yefry","Yefry",606162,1993-11-28
"491","Dillon Peters","Marlins","18790","Peters","Dillon","Dillon James",596071,1992-08-31
"492","Chaz Roe","Rays","9866","Roe","Chaz","Chaz Daniel",475054,1986-10-09
"493","Alec Asher","Orioles","13560","Asher","Alec","Alec Edward",594742,1991-10-04
"494","Caleb Frare","White Sox","14353","Frare","Caleb","Caleb Michael",621350,1993-07-08
